Id,Name,Default_Billing_Schedule__c,Default_Term__c
01tIV00000GOfPkYAL,"Formation Administrateur",One-off,One-off
01tIV00000GOfPlYAL,"Formation Administrateur RCV",One-off,One-off
01tIV00000GOfPmYAL,"Formation Formateur",One-off,One-off
01tIV00000GOfPnYAL,"Manuel utilisateur personnalisé",One-off,One-off
01tIV00000GOfTpYAL,"Ouverture liaison SFTP",One-off,One-off
01tIV00000GOfTqYAL,"Ouverture API",One-off,One-off
01tIV00000GOfTrYAL,"Certification flux",One-off,One-off
01tIV00000GOfTsYAL,"Interface HR-XML SIDES / API",One-off,One-off
01tIV00000GyRiVYAV,"Mise en œuvre Rapport ETL - Tranche 3 extractions",One-off,One-off
01tIV00000GyT5zYAF,"Formation ETT - Utilisateur Gestion - Formation Complémentaire",One-off,One-off
01tIV00000GyUMzYAN,"Chiffrement des données SFTP",One-off,One-off
01tIV00000GyUWfYAN,"ETL - Supervision et support de 5 extractions additionnelles",One-off,One-off
01tIV00000GyUZuYAN,"Formation Administrateur ETT standard",One-off,One-off
01tIV00000GyUgLYAV,"ETL - Supervision et support des fichiers jusqu'à 5 extractions",One-off,One-off
01tIV00000GyUhxYAF,"Expert",One-off,One-off
01tIV00000GyUrdYAF,"Formation Utilisateur et Administrateur ETT standard",One-off,One-off
01tIV00000GyUurYAF,"Mise en œuvre",One-off,One-off
01tIV00000GyUy5YAF,"Mise en œuvre Pack ETT",One-off,One-off
01tIV00000GyV2vYAF,"Mise en œuvre Rapport ETL",One-off,One-off
01tIV00000H2OviYAF,"Feature Development",One-off,One-off
01tIV00000H2SuTYAV,"Sisense - Implementation",One-off,One-off
01tIV00000H2URdYAN,"Extra Training",One-off,One-off
01tIV00000H2UwHYAV,"Integration API Open",One-off,One-off
01tIV00000H2VAnYAN,"SSO Connection",One-off,One-off
01tIV00000H2ZRJYA3,"Customized Integration",One-off,One-off
01tIV00000H2mYDYAZ,"Professional Services (Fixed Fee)",One-off,One-off
